,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,games_played,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,points_per_game,pp90,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,vapm,web_name,yellow_cards
239,0,0,0,0,0,0,,,0,0,0,0,0.0,473,191,,,0,2,0.0,0.0,0,Terence,0.0,0,0,0,0.0,490,191,0,0.0,486,191,0,Foot injury - Unknown return date,2020-10-22T12:30:15.315129Z,45,0,0,,0,,0.0,0.0,0,0,Kongolo,0.0,0,,i,8,54,0,445,178,0,74,36,40,22,0.0,0.0,0.0,Kongolo,0
240,0,0,3,100,100,0,,,0,0,-1,1,0.0,416,171,,,0,2,0.5,0.0,0,Wes,0.0,1,0,0,0.0,439,172,0,0.2,386,141,1,,2020-10-16T23:00:18.261247Z,44,0,0,,0,,1.0,90.0,0,0,Morgan,0.1,0,,a,9,13,0,382,153,1,6155,513,7006,728,0.0,0.2,-0.22727272727272727,Morgan,0
241,0,3,110,,,2,,,0,0,0,0,0.0,563,61,,,1,1,5.5,5.0,10,Kasper,5.0,6,8,0,15.1,148,6,0,150.8,29,5,540,,,55,0,0,,0,,4.2,4.166666666666666,0,17,Schmeichel,11.9,0,,a,9,13,0,562,61,25,208639,18265,349614,21063,0.9,4.5,0.393939393939394,Schmeichel,0
242,0,1,26,100,100,1,,,0,0,0,0,3.0,306,102,3,,0,2,2.5,2.0,6,Christian,2.0,2,1,0,3.0,329,118,0,27.0,276,111,100,,2020-08-15T10:00:11.758506Z,45,0,0,,0,,3.5,6.300000000000001,0,0,Fuchs,0.1,0,,a,9,13,0,431,171,7,6380,1327,4660,479,0.4,1.6,0.3333333333333333,Fuchs,1
243,0,0,48,75,100,1,,,0,0,0,0,2.2,314,106,,,0,2,1.9,2.0,5,Jonny,2.0,4,5,0,6.4,277,97,0,61.6,179,74,349,Back injury - 75% chance of playing,2020-10-29T21:00:17.637822Z,55,0,0,,0,,2.0,2.0630372492836675,0,0,Evans,0.2,0,,d,9,13,0,563,212,8,10777,3127,7593,1172,0.4,1.5,0.0,Evans,3
244,0,0,0,0,0,0,,,0,0,-1,1,0.0,423,177,,,0,3,0.0,0.0,0,Adrien,0.0,0,0,0,0.0,446,177,0,0.0,441,177,0,Transferred to Sampdoria,2020-10-05T07:20:56.395434Z,44,0,0,,0,,0.0,0.0,0,0,Silva,0.3,0,,u,9,13,0,389,163,0,8300,55,36087,2666,0.0,0.0,0.0,Silva,0
245,0,0,13,,,0,4,,0,0,-2,2,11.8,266,147,,,0,3,0.8,0.3,1,Marc,0.3,3,0,0,1.6,363,164,0,3.0,372,168,35,,,53,0,0,,0,,1.0,7.714285714285714,0,0,Albrighton,0.1,0,,a,9,13,2,317,157,3,2858,113,10177,566,0.1,0.6,-0.18867924528301888,Albrighton,0
246,0,0,0,0,0,0,,,0,0,-1,1,0.0,426,178,,,0,3,0.0,0.0,0,Matty,0.0,0,0,0,0.0,449,178,0,0.0,444,178,0,Joined Barnsley on loan until January on 16/10. - Expected back 01 Feb,2020-10-16T21:30:11.572098Z,44,0,0,,0,,0.0,0.0,0,0,James,0.3,0,,n,9,13,0,392,164,0,15827,123,34803,3301,0.0,0.0,0.0,James,0
247,0,0,0,,,0,,,-1,1,-1,1,0.0,432,29,,,0,1,0.5,0.0,0,Danny,0.0,0,0,0,0.0,455,49,0,0.0,450,49,0,,,44,0,0,,0,,0.0,0.0,0,0,Ward,0.2,0,,a,9,13,0,400,26,0,1814,225,6075,455,0.0,0.0,0.0,Ward,0
248,0,8,164,100,75,1,,,0,0,0,0,24.2,198,26,,,2,4,3.5,2.2,7,Jamie,3.0,5,7,6,41.9,23,13,0,216.8,9,4,384,,2020-10-16T13:30:22.970773Z,100,0,0,1,0,,8.2,9.609375,0,0,Vardy,17.6,0,,a,9,13,177,25,16,41,1105698,82889,1337780,69855,0.3,4.1,0.6199999999999999,Vardy,0
249,1,1,66,100,100,2,,,0,0,0,0,65.3,89,61,,,0,3,1.8,1.3,1,Dennis,1.3,5,3,1,21.7,85,49,0,84.2,120,45,350,,2020-10-16T14:00:23.233127Z,55,0,0,,0,,4.0,5.142857142857142,0,0,Praet,0.4,0,,a,9,13,70,80,46,20,68463,915,56486,3624,0.2,3.6,0.36363636363636365,Praet,0
250,0,0,0,0,0,0,,,0,0,-1,1,0.0,578,215,,,0,2,0.0,0.0,0,Ricardo Domingos,0.0,0,0,0,0.0,582,215,0,0.0,579,215,0,Knee injury - Expected back 05 Dec,2020-08-15T10:00:11.805174Z,59,0,0,,0,,0.0,0.0,0,0,Barbosa Pereira,0.1,0,,i,9,13,0,579,215,0,1797,152,6997,439,0.0,0.0,0.0,Pereira,0
